New Experiment - Num episodes: 500
iteration, action, basal, carb, reward
342, 4, 4.7, 15, -521.5
343, 4, 4.7, 15, -521.5
344, 2, 5, 10, -529.5
345, 1, 5, 5, -529.5
346, 6, 4.7, 10, -525.0
347, 8, 5, 15, -529.5
348, 6, 4.7, 20, -519.5
349, 5, 5, 20, -529.5
350, 5, 5, 20, -529.5
351, 2, 5, 15, -529.5
352, 2, 5, 10, -529.5
353, 2, 5, 5, -529.5
354, 2, 5, 5, -529.5
355, 1, 5, 5, -529.5
356, 4, 5, 5, -529.5
357, 8, 5, 10, -529.5
358, 7, 5, 15, -529.5
359, 6, 4.7, 20, -519.5
360, 1, 4.7, 15, -521.5
361, 7, 4.7, 20, -519.5
362, 8, 5, 25, -529.5
363, 8, 5, 30, -529.5
364, 8, 5, 35, -529.5
365, 8, 5, 40, -529.5
366, 3, 4.7, 40, -514.0
367, 3, 4.4, 40, -474.0
368, 3, 4.1000000000000005, 40, -436.5
369, 2, 4.4, 35, -475.5
370, 4, 4.4, 35, -475.5
371, 8, 4.7, 40, -514.0
372, 5, 5, 40, -529.5
373, 8, 5, 45, -529.5
374, 1, 5, 40, -529.5
375, 2, 5, 35, -529.5
376, 2, 5, 30, -529.5
377, 8, 5, 35, -529.5
378, 3, 4.7, 35, -514.0
379, 2, 5, 30, -529.5
380, 2, 5, 25, -529.5
381, 2, 5, 20, -529.5
382, 3, 4.7, 20, -519.5
383, 4, 4.7, 20, -519.5
384, 2, 5, 15, -529.5
385, 3, 4.7, 15, -521.5
386, 2, 5, 10, -529.5
387, 2, 5, 5, -529.5
388, 2, 5, 5, -529.5
389, 2, 5, 5, -529.5
390, 5, 5, 5, -529.5
391, 5, 5, 5, -529.5
392, 5, 5, 5, -529.5
393, 5, 5, 5, -529.5
394, 2, 5, 5, -529.5
395, 2, 5, 5, -529.5
396, 2, 5, 5, -529.5
397, 1, 5, 5, -529.5
398, 8, 5, 10, -529.5
399, 6, 4.7, 15, -521.5
400, 8, 5, 20, -529.5
401, 6, 4.7, 25, -518.5
402, 2, 5, 20, -529.5
403, 2, 5, 15, -529.5
404, 5, 5, 15, -529.5
405, 8, 5, 20, -529.5
406, 5, 5, 20, -529.5
407, 5, 5, 20, -529.5
408, 5, 5, 20, -529.5
409, 8, 5, 25, -529.5
410, 8, 5, 30, -529.5
411, 2, 5, 25, -529.5
412, 7, 5, 30, -529.5
413, 5, 5, 30, -529.5
414, 5, 5, 30, -529.5
415, 5, 5, 30, -529.5
