New Experiment - Num episodes: 500
iteration, action, basal, carb, reward
250, 0, 0.3, 5, 13.5
251, 0, 0.3, 5, 13.5
252, 0, 0.3, 5, 13.5
253, 0, 0.3, 5, 13.5
254, 0, 0.3, 5, 13.5
255, 0, 0.3, 5, 13.5
256, 0, 0.3, 5, 13.5
257, 1, 0.3, 5, 13.5
258, 0, 0.3, 5, 13.5
259, 0, 0.3, 5, 13.5
260, 7, 0.3, 10, -166.89999389648438
261, 0, 0.3, 5, 13.5
262, 0, 0.3, 5, 13.5
263, 0, 0.3, 5, 13.5
264, 0, 0.3, 5, 13.5
265, 0, 0.3, 5, 13.5
266, 0, 0.3, 5, 13.5
267, 3, 0.3, 5, 13.5
268, 0, 0.3, 5, 13.5
269, 0, 0.3, 5, 13.5
270, 2, 0.6, 5, 72.30000305175781
271, 0, 0.3, 5, 13.5
272, 0, 0.3, 5, 13.5
273, 0, 0.3, 5, 13.5
274, 0, 0.3, 5, 13.5
275, 0, 0.3, 5, 13.5
276, 8, 0.6, 10, 34.0
277, 0, 0.3, 5, 13.5
278, 7, 0.3, 10, -166.89999389648438
279, 0, 0.3, 5, 13.5
280, 6, 0.3, 10, -166.89999389648438
281, 0, 0.3, 5, 13.5
282, 0, 0.3, 5, 13.5
283, 5, 0.6, 5, 72.30000305175781
284, 7, 0.6, 10, 34.0
285, 0, 0.3, 5, 13.5
286, 8, 0.6, 10, 34.0
287, 0, 0.3, 5, 13.5
288, 0, 0.3, 5, 13.5
289, 0, 0.3, 5, 13.5
290, 3, 0.3, 5, 13.5
291, 7, 0.3, 10, -166.89999389648438
292, 2, 0.6, 5, 72.30000305175781
293, 0, 0.3, 5, 13.5
294, 0, 0.3, 5, 13.5
295, 4, 0.3, 5, 13.5
296, 0, 0.3, 5, 13.5
297, 0, 0.3, 5, 13.5
298, 0, 0.3, 5, 13.5
299, 0, 0.3, 5, 13.5
300, 2, 0.6, 5, 72.30000305175781
301, 0, 0.3, 5, 13.5
302, 0, 0.3, 5, 13.5
303, 0, 0.3, 5, 13.5
304, 0, 0.3, 5, 13.5
305, 0, 0.3, 5, 13.5
306, 1, 0.3, 5, 13.5
307, 8, 0.6, 10, 34.0
308, 0, 0.3, 5, 13.5
309, 0, 0.3, 5, 13.5
310, 2, 0.6, 5, 72.30000305175781
311, 0, 0.3, 5, 13.5
312, 1, 0.3, 5, 13.5
313, 0, 0.3, 5, 13.5
314, 5, 0.6, 5, 72.30000305175781
315, 0, 0.3, 5, 13.5
316, 0, 0.3, 5, 13.5
317, 0, 0.3, 5, 13.5
318, 0, 0.3, 5, 13.5
319, 0, 0.3, 5, 13.5
320, 0, 0.3, 5, 13.5
321, 0, 0.3, 5, 13.5
322, 3, 0.3, 5, 13.5
323, 0, 0.3, 5, 13.5
324, 0, 0.3, 5, 13.5
325, 0, 0.3, 5, 13.5
326, 0, 0.3, 5, 13.5
327, 0, 0.3, 5, 13.5
328, 0, 0.3, 5, 13.5
329, 5, 0.6, 5, 72.30000305175781
330, 0, 0.3, 5, 13.5
331, 0, 0.3, 5, 13.5
332, 0, 0.3, 5, 13.5
333, 0, 0.3, 5, 13.5
334, 0, 0.3, 5, 13.5
335, 0, 0.3, 5, 13.5
336, 0, 0.3, 5, 13.5
337, 0, 0.3, 5, 13.5
338, 7, 0.3, 10, -166.89999389648438
339, 3, 0.3, 10, -166.89999389648438
340, 0, 0.3, 5, 13.5
341, 0, 0.3, 5, 13.5
342, 4, 0.3, 5, 13.5
343, 0, 0.3, 5, 13.5
344, 0, 0.3, 5, 13.5
345, 0, 0.3, 5, 13.5
346, 0, 0.3, 5, 13.5
347, 0, 0.3, 5, 13.5
348, 0, 0.3, 5, 13.5
349, 0, 0.3, 5, 13.5
350, 0, 0.3, 5, 13.5
351, 0, 0.3, 5, 13.5
352, 0, 0.3, 5, 13.5
353, 0, 0.3, 5, 13.5
354, 0, 0.3, 5, 13.5
355, 0, 0.3, 5, 13.5
356, 0, 0.3, 5, 13.5
357, 0, 0.3, 5, 13.5
358, 0, 0.3, 5, 13.5
359, 0, 0.3, 5, 13.5
360, 0, 0.3, 5, 13.5
361, 0, 0.3, 5, 13.5
362, 0, 0.3, 5, 13.5
363, 0, 0.3, 5, 13.5
364, 0, 0.3, 5, 13.5
365, 0, 0.3, 5, 13.5
366, 0, 0.3, 5, 13.5
367, 0, 0.3, 5, 13.5
368, 0, 0.3, 5, 13.5
369, 0, 0.3, 5, 13.5
370, 0, 0.3, 5, 13.5
371, 0, 0.3, 5, 13.5
372, 0, 0.3, 5, 13.5
373, 0, 0.3, 5, 13.5
374, 0, 0.3, 5, 13.5
375, 4, 0.3, 5, 13.5
376, 0, 0.3, 5, 13.5
377, 4, 0.3, 5, 13.5
378, 0, 0.3, 5, 13.5
379, 0, 0.3, 5, 13.5
380, 0, 0.3, 5, 13.5
381, 0, 0.3, 5, 13.5
382, 0, 0.3, 5, 13.5
383, 0, 0.3, 5, 13.5
384, 0, 0.3, 5, 13.5
385, 0, 0.3, 5, 13.5
386, 0, 0.3, 5, 13.5
387, 0, 0.3, 5, 13.5
388, 0, 0.3, 5, 13.5
389, 0, 0.3, 5, 13.5
390, 0, 0.3, 5, 13.5
391, 0, 0.3, 5, 13.5
392, 0, 0.3, 5, 13.5
393, 0, 0.3, 5, 13.5
394, 3, 0.3, 5, 13.5
395, 0, 0.3, 5, 13.5
396, 0, 0.3, 5, 13.5
397, 0, 0.3, 5, 13.5
398, 4, 0.3, 5, 13.5
399, 0, 0.3, 5, 13.5
400, 1, 0.3, 5, 13.5
401, 0, 0.3, 5, 13.5
402, 0, 0.3, 5, 13.5
403, 0, 0.3, 5, 13.5
404, 0, 0.3, 5, 13.5
405, 0, 0.3, 5, 13.5
406, 0, 0.3, 5, 13.5
407, 0, 0.3, 5, 13.5
408, 0, 0.3, 5, 13.5
409, 0, 0.3, 5, 13.5
410, 6, 0.3, 10, -166.89999389648438
411, 0, 0.3, 5, 13.5
412, 0, 0.3, 5, 13.5
413, 0, 0.3, 5, 13.5
414, 0, 0.3, 5, 13.5
415, 0, 0.3, 5, 13.5
416, 0, 0.3, 5, 13.5
417, 1, 0.3, 5, 13.5
418, 0, 0.3, 5, 13.5
419, 0, 0.3, 5, 13.5
